INFO 2024-12-21 17:45:24,403 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-21 17:45:24,405 autoreload Waiting for apps ready_event.
DEBUG 2024-12-21 17:45:25,005 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-21 17:45:25,083 autoreload Watching dir D:\School\IT 120\Final Project\Final Project\Team\Billy\Sending\IT120\sending_application\templates with glob **/*.
DEBUG 2024-12-21 17:45:25,084 autoreload Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-12-21 17:45:25,084 autoreload Watching dir D:\School\IT 120\Final Project\Final Project\Team\Billy\Sending\IT120\locale with glob **/*.mo.
DEBUG 2024-12-21 17:45:25,104 autoreload Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-12-21 17:45:25,105 autoreload Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-12-21 17:45:25,105 autoreload Watching dir D:\School\IT 120\Final Project\Final Project\Team\Billy\Sending\IT120\sending_application\locale with glob **/*.mo.
DEBUG 2024-12-21 17:45:25,141 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-21 17:45:25,146 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-21 17:45:25,407 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\Crypto\Cipher\__init__.py first seen with mtime 1734606818.7616994
DEBUG 2024-12-21 17:45:25,408 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\Crypto\Cipher\_mode_ctr.py first seen with mtime 1734606818.7703116
DEBUG 2024-12-21 17:45:25,408 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1732949071.253028
DEBUG 2024-12-21 17:45:25,408 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\Crypto\Util\_raw_api.py first seen with mtime 1734606819.0082123
DEBUG 2024-12-21 17:45:25,409 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1732948992.8778527
DEBUG 2024-12-21 17:45:25,409 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1732948993.11885
DEBUG 2024-12-21 17:45:25,409 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\argon2\low_level.py first seen with mtime 1733384163.2367342
DEBUG 2024-12-21 17:45:25,409 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1732948992.7838695
DEBUG 2024-12-21 17:45:25,409 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1732948992.7948644
DEBUG 2024-12-21 17:45:25,410 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\re\__init__.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,410 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\uuid.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,410 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\charset_normalizer\version.py first seen with mtime 1732949071.658062
DEBUG 2024-12-21 17:45:25,410 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\_collections.py first seen with mtime 1732949071.2489245
DEBUG 2024-12-21 17:45:25,410 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1732948992.8878639
DEBUG 2024-12-21 17:45:25,411 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\signals.py first seen with mtime 1732948992.7678685
DEBUG 2024-12-21 17:45:25,411 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\Crypto\Cipher\_mode_gcm.py first seen with mtime 1734606818.7703116
DEBUG 2024-12-21 17:45:25,411 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1732948992.9178514
DEBUG 2024-12-21 17:45:25,411 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\email\_parseaddr.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,411 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\Crypto\Cipher\AES.py first seen with mtime 1734606818.728119
DEBUG 2024-12-21 17:45:25,412 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\_weakrefset.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,412 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1732953754.8893762
DEBUG 2024-12-21 17:45:25,412 autoreload File D:\School\IT 120\Final Project\Final Project\Team\Billy\Sending\IT120\manage.py first seen with mtime 1734764164.386904
